player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key
Patrick Bamford,patrick bamford,eng ENG,2016/17,Premier League,2 Teams,14,1,326,22,FW,0,1,1,0,0,2,12,3.6,patrick bamford|eng eng|1994,patrick bamford|2016/17
Leonardo Ulloa,leonardo ulloa,ar ARG,2017/18,Premier League,2 Teams,14,1,289,31,FW,0,1,1,0,0,2,12,3.2,leonardo ulloa|ar arg|1986,leonardo ulloa|2017/18
Yaya Sanogo,yaya sanogo,fr FRA,2014/15,Premier League,2 Teams,13,0,458,21,FW,0,0,0,0,0,5,8,5.1,yaya sanogo|fr fra|1993,yaya sanogo|2014/15
Kenedy,kenedy,br BRA,2017/18,Premier League,2 Teams,13,2,1023,21,MF,2,4,2,0,0,13,0,11.4,kenedy|br bra|1996,kenedy|2017/18
Nathan Dyer,nathan dyer,eng ENG,2015/16,Premier League,2 Teams,13,1,239,27,"FW,MF",1,2,1,0,0,0,13,2.7,nathan dyer|eng eng|1988,nathan dyer|2015/16
Patrick Bamford,patrick bamford,eng ENG,2015/16,Premier League,2 Teams,13,0,362,21,FW,0,0,0,0,0,2,11,4,patrick bamford|eng eng|1994,patrick bamford|2015/16
Kyle Walker-Peters,kyle walker-peters,eng ENG,2019/20,Premier League,2 Teams,13,0,944,22,DF,0,0,0,0,0,10,3,10.5,kyle walker-peters|eng eng|1997,kyle walker-peters|2019/20
Nathan AkÃ©,nathan aka©,nl NED,2016/17,Premier League,2 Teams,12,3,834,21,DF,0,3,3,0,0,9,3,9.3,nathan aka©|nl ned|1995,nathan aka©|2016/17
Scott Sinclair,scott sinclair,eng ENG,2014/15,Premier League,2 Teams,11,1,468,25,"FW,MF",0,1,1,0,0,5,6,5.2,scott sinclair|eng eng|1989,scott sinclair|2014/15
Mauro ZÃ¡rate,mauro za¡rate,ar ARG,2014/15,Premier League,2 Teams,11,2,487,27,"FW,MF",1,3,2,0,0,5,6,5.4,mauro za¡rate|ar arg|1987,mauro za¡rate|2014/15
Eliaquim Mangala,eliaquim mangala,fr FRA,2017/18,Premier League,2 Teams,11,0,622,26,DF,0,0,0,0,0,6,5,6.9,eliaquim mangala|fr fra|1991,eliaquim mangala|2017/18
Jason Puncheon,jason puncheon,eng ENG,2018/19,Premier League,2 Teams,11,0,395,32,MF,0,0,0,0,0,5,6,4.4,jason puncheon|eng eng|1986,jason puncheon|2018/19
Cenk Tosun,cenk tosun,tr TUR,2019/20,Premier League,2 Teams,10,2,468,28,FW,0,2,2,0,0,4,6,5.2,cenk tosun|tr tur|1991,cenk tosun|2019/20
Georges-KÃ©vin N'Koudou,georges-ka©vin n'koudou,cm CMR,2017/18,Premier League,2 Teams,9,0,229,22,"FW,MF",0,0,0,0,0,2,7,2.5,georges-ka©vin n'koudou|cm cmr|1995,georges-ka©vin n'koudou|2017/18
Tariq Lamptey,tariq lamptey,gh GHA,2019/20,Premier League,2 Teams,9,0,620,18,"DF,MF",1,1,0,0,0,7,2,6.9,tariq lamptey|gh gha|2001,tariq lamptey|2019/20
Steven Caulker,steven caulker,sl SLE,2015/16,Premier League,2 Teams,6,0,151,23,DF,0,0,0,0,0,1,5,1.7,steven caulker|sl sle|1992,steven caulker|2015/16
Mark Schwarzer,mark schwarzer,au AUS,2014/15,Premier League,2 Teams,6,0,540,41,GK,0,0,0,0,0,6,0,6,mark schwarzer|au aus|1973,mark schwarzer|2014/15
Danny Drinkwater,danny drinkwater,eng ENG,2019/20,Premier League,2 Teams,5,0,317,29,MF,0,0,0,0,0,5,0,3.5,danny drinkwater|eng eng|1990,danny drinkwater|2019/20
Marc Wilson,marc wilson,ie IRL,2016/17,Premier League,2 Teams,4,0,254,28,"DF,MF",0,0,0,0,0,3,1,2.8,marc wilson|ie irl|1988,marc wilson|2016/17
Brendan Galloway,brendan galloway,zw ZIM,2016/17,Premier League,2 Teams,3,0,247,20,DF,0,0,0,0,0,3,0,2.7,brendan galloway|zw zim|1996,brendan galloway|2016/17
Alex Pritchard,alex pritchard,eng ENG,2015/16,Premier League,2 Teams,3,0,69,22,"FW,MF",0,0,0,0,0,0,3,0.8,alex pritchard|eng eng|1993,alex pritchard|2015/16
