player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key,player_name_raw,player_name_used_for_search,reason_unresolved,candidate_players
Lee Chapman,lee chapman,eng ENG,1994/95,Premier League,2 Teams,26,1,1572,34,FW,1,2,1,0,0,16,10,17.5,lee chapman|eng eng|1960,lee chapman|1994/95,Lee Chapman,Lee Chapman,Season not found in SportMonks,[]
Micky Hazard,micky hazard,eng ENG,1993/94,Premier League,2 Teams,26,2,1922,33,MF,2,4,1,1,1,20,6,21.4,micky hazard|eng eng|1960,micky hazard|1993/94,Micky Hazard,Micky Hazard,Season not found in SportMonks,[]
Andy Impey,andy impey,eng ENG,1998/99,Premier League,2 Teams,26,0,2070,26,"DF,MF",1,1,0,0,0,23,3,23,andy impey|eng eng|1972,andy impey|1998/99,Andy Impey,Andy Impey,Season not found in SportMonks,[]
Jason McAteer,jason mcateer,ie IRL,1998/99,Premier League,2 Teams,26,1,1889,27,MF,2,3,1,0,0,19,7,21,jason mcateer|ie irl|1971,jason mcateer|1998/99,Jason McAteer,Jason McAteer,Season not found in SportMonks,[]
Lars Bohinen,lars bohinen,no NOR,1995/96,Premier League,2 Teams,26,4,2125,25,MF,1,5,,,,24,2,23.6,lars bohinen|no nor|1970,lars bohinen|1995/96,Lars Bohinen,Lars Bohinen,Season not found in SportMonks,[]
Paul Williams,paul williams,eng ENG,1992/93,Premier League,2 Teams,25,1,1963,26,FW,2,3,1,0,0,22,3,21.8,paul williams|eng eng|1966,paul williams|1992/93,Paul Williams,Paul Williams,Season not found in SportMonks,[]
Dean Holdsworth,dean holdsworth,eng ENG,1997/98,Premier League,2 Teams,25,3,1753,28,FW,0,3,3,0,0,21,4,19.5,dean holdsworth|eng eng|1969,dean holdsworth|1997/98,Dean Holdsworth,Dean Holdsworth,Season not found in SportMonks,[]
Craig Maskell,craig maskell,eng ENG,1993/94,Premier League,2 Teams,24,4,1278,25,FW,0,4,3,1,1,14,10,14.2,craig maskell|eng eng|1968,craig maskell|1993/94,Craig Maskell,Craig Maskell,Season not found in SportMonks,[]
Lars Bohinen,lars bohinen,no NOR,1997/98,Premier League,2 Teams,24,2,1421,27,MF,3,5,2,0,0,14,10,15.8,lars bohinen|no nor|1970,lars bohinen|1997/98,Lars Bohinen,Lars Bohinen,Season not found in SportMonks,[]
Mike Marsh,mike marsh,eng ENG,1994/95,Premier League,2 Teams,31,2,2568,25,"FW,MF",2,4,2,0,0,28,3,28.5,mike marsh|eng eng|1969,mike marsh|1994/95,Mike Marsh,Mike Marsh,Season not found in SportMonks,[]
Benito Carbone,benito carbone,it ITA,1999/00,Premier League,2 Teams,31,5,2278,27,FW,5,10,4,1,1,25,6,25.3,benito carbone|it ita|1972,benito carbone|1999/00,Benito Carbone,Benito Carbone,Season not found in SportMonks,[]
David White,david white,eng ENG,1993/94,Premier League,2 Teams,31,6,2215,25,"FW,MF",1,7,,,,25,6,24.6,david white|eng eng|1968,david white|1993/94,David White,David White,Season not found in SportMonks,[]
Kevin Richardson,kevin richardson,eng ENG,1997/98,Premier League,2 Teams,31,0,2414,34,MF,3,3,0,0,0,28,3,26.8,kevin richardson|eng eng|1963,kevin richardson|1997/98,Kevin Richardson,Kevin Richardson,Season not found in SportMonks,[]
John Hartson,john hartson,wls WAL,1996/97,Premier League,2 Teams,30,8,2211,21,FW,3,11,8,0,0,25,5,24.6,john hartson|wls wal|1975,john hartson|1996/97,John Hartson,John Hartson,Season not found in SportMonks,[]
Lee Carsley,lee carsley,ie IRL,1998/99,Premier League,2 Teams,30,1,2558,24,MF,1,2,,,,27,3,28.4,lee carsley|ie irl|1974,lee carsley|1998/99,Lee Carsley,Lee Carsley,Season not found in SportMonks,[]
Kevin Scott,kevin scott,eng ENG,1993/94,Premier League,2 Teams,30,1,2622,26,DF,0,1,1,0,0,30,0,29.1,kevin scott|eng eng|1967,kevin scott|1993/94,Kevin Scott,Kevin Scott,Season not found in SportMonks,[]
Ruel Fox,ruel fox,ms MSR,1995/96,Premier League,2 Teams,30,6,2503,27,MF,6,12,,,,28,2,27.8,ruel fox|ms msr|1968,ruel fox|1995/96,Ruel Fox,Ruel Fox,Season not found in SportMonks,[]
Keith Gillespie,keith gillespie,nir NIR,1998/99,Premier League,2 Teams,23,1,1694,23,"FW,MF",3,4,1,0,0,18,5,18.8,keith gillespie|nir nir|1975,keith gillespie|1998/99,Keith Gillespie,Keith Gillespie,Season not found in SportMonks,[]
Graeme Le Saux,graeme le saux,eng ENG,1992/93,Premier League,2 Teams,23,0,1707,23,DF,3,3,0,0,0,19,4,19,graeme le saux|eng eng|1969,graeme le saux|1992/93,Graeme Le Saux,Graeme Le Saux,Season not found in SportMonks,[]
Earl Barrett,earl barrett,eng ENG,1997/98,Premier League,2 Teams,23,0,1862,30,DF,1,1,0,0,0,22,1,20.7,earl barrett|eng eng|1967,earl barrett|1997/98,Earl Barrett,Earl Barrett,Season not found in SportMonks,[]
Lawrie Sanchez,lawrie sanchez,nir NIR,1993/94,Premier League,2 Teams,23,2,1925,33,MF,3,5,2,0,0,21,2,21.4,lawrie sanchez|nir nir|1960,lawrie sanchez|1993/94,Lawrie Sanchez,Lawrie Sanchez,Season not found in SportMonks,[]
Earl Barrett,earl barrett,eng ENG,1994/95,Premier League,2 Teams,42,0,3680,27,DF,1,1,,,,41,1,40.9,earl barrett|eng eng|1967,earl barrett|1994/95,Earl Barrett,Earl Barrett,Season not found in SportMonks,[]
Teddy Sheringham,teddy sheringham,eng ENG,1992/93,Premier League,2 Teams,41,22,3663,26,FW,9,31,,,,41,0,40.7,teddy sheringham|eng eng|1966,teddy sheringham|1992/93,Teddy Sheringham,Teddy Sheringham,Season not found in SportMonks,[]
Dean Saunders,dean saunders,wls WAL,1992/93,Premier League,2 Teams,41,14,3640,28,FW,3,17,13,1,2,41,0,40.4,dean saunders|wls wal|1964,dean saunders|1992/93,Dean Saunders,Dean Saunders,Season not found in SportMonks,[]
Tim Flowers,tim flowers,eng ENG,1993/94,Premier League,2 Teams,41,0,3690,26,GK,0,0,0,0,0,41,0,41,tim flowers|eng eng|1967,tim flowers|1993/94,Tim Flowers,Tim Flowers,Season not found in SportMonks,[]
Neil Shipperley,neil shipperley,eng ENG,1994/95,Premier League,2 Teams,39,6,2247,19,FW,3,9,6,0,0,35,4,25,neil shipperley|eng eng|1975,neil shipperley|1994/95,Neil Shipperley,Neil Shipperley,Season not found in SportMonks,[]
Darren Peacock,darren peacock,eng ENG,1993/94,Premier League,2 Teams,39,3,3510,25,DF,2,5,,,,39,0,39,darren peacock|eng eng|1968,darren peacock|1993/94,Darren Peacock,Darren Peacock,Season not found in SportMonks,[]
Ruel Fox,ruel fox,ms MSR,1993/94,Premier League,2 Teams,39,9,3448,25,MF,11,20,,,,39,0,38.3,ruel fox|ms msr|1968,ruel fox|1993/94,Ruel Fox,Ruel Fox,Season not found in SportMonks,[]
Robert Rosario,robert rosario,eng ENG,1992/93,Premier League,2 Teams,38,5,3318,26,FW,7,12,,,,38,0,36.9,robert rosario|eng eng|1966,robert rosario|1992/93,Robert Rosario,Robert Rosario,Season not found in SportMonks,[]
John Scales,john scales,eng ENG,1994/95,Premier League,2 Teams,38,2,3315,28,DF,0,2,2,0,0,38,0,36.8,john scales|eng eng|1966,john scales|1994/95,John Scales,John Scales,Season not found in SportMonks,[]
Rio Ferdinand,rio ferdinand,eng ENG,2000/01,Premier League,2 Teams,35,2,3049,21,DF,0,2,2,0,0,35,0,33.9,rio ferdinand|eng eng|1979,rio ferdinand|2000/01,Rio Ferdinand,Rio Ferdinand,No per-team stats available for this season,"[{""id"":582,""name"":""Rio Ferdinand"",""score"":""0.90""}]"
Florent Sinama Pongolle,florent sinama pongolle,fr FRA,2005/06,Premier League,2 Teams,17,1,979,20,FW,1,2,1,0,0,11,6,10.9,florent sinama pongolle|fr fra|1985,florent sinama pongolle|2005/06,Florent Sinama Pongolle,Florent Sinama Pongolle,No player matches found,[]
Matt Jones,matt jones,wls WAL,2000/01,Premier League,2 Teams,15,0,994,19,MF,0,0,0,0,0,13,2,11,matt jones|wls wal|1981,matt jones|2000/01,,,Best match score 0.40 below threshold 0.5,"[{""id"":159436,""name"":""Matt Jones"",""score"":""0.40""}]"
Steve Staunton,steve staunton,ie IRL,2000/01,Premier League,2 Teams,15,0,1123,31,"DF,MF",2,2,0,0,0,13,2,12.5,steve staunton|ie irl|1969,steve staunton|2000/01,Steve Staunton,Steve Staunton,No player matches found,[]
Eyal Berkovic,eyal berkovic,il ISR,2003/04,Premier League,2 Teams,14,1,961,31,MF,1,2,1,0,0,10,4,10.7,eyal berkovic|il isr|1972,eyal berkovic|2003/04,Eyal Berkovic,Eyal Berkovic,No player matches found,[]
Alexandre Song,alexandre song,cm CMR,2006/07,Premier League,2 Teams,14,0,1040,18,"DF,MF",1,1,0,0,0,13,1,11.6,alexandre song|cm cmr|1988,alexandre song|2006/07,Alexandre Song,Alexandre Song,No player matches found,[]
Graham Stuart,graham stuart,eng ENG,2004/05,Premier League,2 Teams,12,0,917,33,"FW,MF",1,1,0,0,0,11,1,10.2,graham stuart|eng eng|1971,graham stuart|2004/05,Graham Stuart,Graham Stuart,No player matches found,[]
Stan Collymore,stan collymore,eng ENG,2000/01,Premier League,2 Teams,12,3,703,29,FW,0,3,3,0,0,6,6,7.8,stan collymore|eng eng|1971,stan collymore|2000/01,Stan Collymore,Stan Collymore,No player matches found,[]
David Ginola,david ginola,fr FRA,2001/02,Premier League,2 Teams,10,0,309,34,"FW,MF",0,0,0,0,0,2,8,3.4,david ginola|fr fra|1967,david ginola|2001/02,David Ginola,David Ginola,No player matches found,[]
Tahar El Khalej,tahar el khalej,ma MAR,2002/03,Premier League,2 Teams,4,0,198,34,"DF,MF",0,0,0,0,0,2,2,2.2,tahar el khalej|ma mar|1968,tahar el khalej|2002/03,Tahar El Khalej,Tahar El Khalej,No player matches found,[]
Marcus Bent,marcus bent,eng ENG,2001/02,Premier League,2 Teams,34,9,2171,23,FW,2,11,9,0,,23,11,24.1,marcus bent|eng eng|1978,marcus bent|2001/02,Marcus Bent,Marcus Bent,No per-team stats available for this season,"[{""id"":111,""name"":""Marcus Bent"",""score"":""1.00""}]"
Chris Makin,chris makin,eng ENG,2000/01,Premier League,2 Teams,33,0,2792,27,DF,3,3,0,0,0,31,2,31,chris makin|eng eng|1973,chris makin|2000/01,Chris Makin,Chris Makin,No player matches found,[]
Nolberto Solano,nolberto solano,pe PER,2005/06,Premier League,2 Teams,32,6,2329,30,MF,2,8,6,0,0,29,3,25.9,nolberto solano|pe per|1975,nolberto solano|2005/06,Nolberto Solano,Nolberto Solano,No player matches found,[]
Dean Windass,dean windass,eng ENG,2000/01,Premier League,2 Teams,32,5,2675,31,"FW,MF",2,7,5,0,0,30,2,29.7,dean windass|eng eng|1969,dean windass|2000/01,Dean Windass,Dean Windass,No per-team stats available for this season,"[{""id"":1564,""name"":""Dean Windass"",""score"":""1.00""}]"
Robbie Fowler,robbie fowler,eng ENG,2001/02,Premier League,2 Teams,32,15,2518,26,FW,4,19,12,0,1,30,2,28,robbie fowler|eng eng|1975,robbie fowler|2001/02,Robbie Fowler,Robbie Fowler,No per-team stats available for this season,"[{""id"":2,""name"":""Robbie Fowler"",""score"":""1.00""}]"
Emerson Thome,emerson thome,br BRA,2000/01,Premier League,2 Teams,32,1,2796,28,DF,0,1,1,0,0,31,1,31.1,emerson thome|br bra|1972,emerson thome|2000/01,Emerson Thome,Emerson Thome,No per-team stats available for this season,"[{""id"":6975831,""name"":""Emerson Thome"",""score"":""1.00""}]"
Rufus Brevett,rufus brevett,eng ENG,2002/03,Premier League,2 Teams,32,0,2643,32,DF,0,0,0,0,0,31,1,29.4,rufus brevett|eng eng|1970,rufus brevett|2002/03,Rufus Brevett,Rufus Brevett,No per-team stats available for this season,"[{""id"":456936,""name"":""Rufus Brevett"",""score"":""0.90""}]"
Robbie Keane,robbie keane,ie IRL,2002/03,Premier League,2 Teams,32,14,2524,22,FW,1,15,14,0,0,29,3,28,robbie keane|ie irl|1980,robbie keane|2002/03,Robbie Keane,Robbie Keane,No per-team stats available for this season,"[{""id"":92,""name"":""R. Keane"",""score"":""0.53""}]"
Michael Ricketts,michael ricketts,eng ENG,2002/03,Premier League,2 Teams,31,7,1936,23,FW,0,7,,,,18,13,21.5,michael ricketts|eng eng|1979,michael ricketts|2002/03,Michael Ricketts,Michael Ricketts,No per-team stats available for this season,"[{""id"":3326,""name"":""Michael Ricketts"",""score"":""0.90""}]"
Jason McAteer,jason mcateer,ie IRL,2001/02,Premier League,2 Teams,30,2,2241,30,MF,3,5,2,0,0,24,6,24.9,jason mcateer|ie irl|1971,jason mcateer|2001/02,Jason McAteer,Jason McAteer,No player matches found,[]
Rob Lee,rob lee,eng ENG,2001/02,Premier League,2 Teams,29,1,2395,35,MF,3,4,1,0,0,28,1,26.6,rob lee|eng eng|1966,rob lee|2001/02,Rob Lee,Rob Lee,No player matches found,[]
LuÃ­s Boa Morte,lua­s boa morte,pt POR,2006/07,Premier League,2 Teams,29,1,1875,28,"FW,MF",3,4,1,0,0,20,9,20.8,lua­s boa morte|pt por|1978,lua­s boa morte|2006/07,,,Best match score 0.44 below threshold 0.5,"[{""id"":122,""name"":""Boa Morte"",""score"":""0.44""}]"
Richard Dunne,richard dunne,ie IRL,2000/01,Premier League,2 Teams,28,0,2409,20,DF,0,0,0,0,0,27,1,26.8,richard dunne|ie irl|1980,richard dunne|2000/01,Richard Dunne,Richard Dunne,No per-team stats available for this season,"[{""id"":172,""name"":""Richard Dunne"",""score"":""0.60""}]"
Jonathan Woodgate,jonathan woodgate,eng ENG,2002/03,Premier League,2 Teams,28,1,2451,22,DF,2,3,1,0,0,28,0,27.2,jonathan woodgate|eng eng|1980,jonathan woodgate|2002/03,Jonathan Woodgate,Jonathan Woodgate,No per-team stats available for this season,"[{""id"":284,""name"":""Jonathan Woodgate"",""score"":""1.00""}]"
Dean Richards,dean richards,eng ENG,2001/02,Premier League,2 Teams,28,2,2475,27,DF,1,3,2,0,0,28,0,27.5,dean richards|eng eng|1974,dean richards|2001/02,Dean Richards,Dean Richards,No player matches found,[]
Andy O'Brien,andy o'brien,ie IRL,2000/01,Premier League,2 Teams,27,1,2310,21,DF,0,1,1,0,0,26,1,25.7,andy o'brien|ie irl|1979,andy o'brien|2000/01,Andy O'Brien,Andy O'Brien,No per-team stats available for this season,"[{""id"":463,""name"":""Andrew O'Brien"",""score"":""0.61""}]"
Dean Sturridge,dean sturridge,eng ENG,2000/01,Premier League,2 Teams,27,4,1370,27,FW,4,8,4,0,0,15,12,15.2,dean sturridge|eng eng|1973,dean sturridge|2000/01,Dean Sturridge,Dean Sturridge,No player matches found,[]
Laurent Charvet,laurent charvet,fr FRA,2000/01,Premier League,2 Teams,27,0,1970,27,DF,1,1,0,0,0,23,4,21.9,laurent charvet|fr fra|1973,laurent charvet|2000/01,Laurent Charvet,Laurent Charvet,No player matches found,[]
Milan BaroÅ¡,milan baroa¡,cz CZE,2005/06,Premier League,2 Teams,27,8,2072,23,FW,3,11,8,0,1,24,3,23,milan baroa¡|cz cze|1982,milan baroa¡|2005/06,Milan BaroÅ¡,Milan BaroA¡,No player matches found,[]
Don Hutchison,don hutchison,sct SCO,2001/02,Premier League,2 Teams,26,1,2181,30,MF,2,3,1,0,0,26,0,24.2,don hutchison|sct sco|1971,don hutchison|2001/02,Don Hutchison,Don Hutchison,No player matches found,[]
Benito Carbone,benito carbone,it ITA,2001/02,Premier League,2 Teams,26,2,2196,29,FW,8,10,2,0,0,26,0,24.4,benito carbone|it ita|1972,benito carbone|2001/02,Benito Carbone,Benito Carbone,No player matches found,[]
Andy Cole,andy cole,eng ENG,2001/02,Premier League,2 Teams,26,13,1991,29,FW,5,18,9,0,0,22,4,22.1,andy cole|eng eng|1972,andy cole|2001/02,Andy Cole,Andy Cole,No per-team stats available for this season,"[{""id"":3814,""name"":""Andy Cole"",""score"":""0.90""}]"
Dan Petrescu,dan petrescu,ro ROU,2000/01,Premier League,2 Teams,26,3,1964,32,DF,2,5,3,0,0,24,2,21.8,dan petrescu|ro rou|1968,dan petrescu|2000/01,Dan Petrescu,Dan Petrescu,No player matches found,[]
Les Ferdinand,les ferdinand,eng ENG,2002/03,Premier League,2 Teams,25,4,1265,35,FW,1,5,4,0,0,16,9,14.1,les ferdinand|eng eng|1967,les ferdinand|2002/03,Les Ferdinand,Les Ferdinand,No player matches found,[]
Lee Bowyer,lee bowyer,eng ENG,2002/03,Premier League,2 Teams,25,3,2207,25,MF,2,5,3,0,0,25,0,24.5,lee bowyer|eng eng|1977,lee bowyer|2002/03,Lee Bowyer,Lee Bowyer,No per-team stats available for this season,"[{""id"":127,""name"":""Lee Bowyer"",""score"":""1.00""}]"
Ugo Ehiogu,ugo ehiogu,eng ENG,2000/01,Premier League,2 Teams,23,3,1956,27,DF,1,4,3,0,0,22,1,21.7,ugo ehiogu|eng eng|1973,ugo ehiogu|2000/01,Ugo Ehiogu,Ugo Ehiogu,No per-team stats available for this season,"[{""id"":4718,""name"":""Ugo Ehiogu"",""score"":""0.90""}]"
Abel Xavier,abel xavier,pt POR,2001/02,Premier League,2 Teams,22,1,1658,28,DF,2,3,1,0,0,20,2,18.4,abel xavier|pt por|1973,abel xavier|2001/02,Abel Xavier,Abel Xavier,No player matches found,[]
Nolberto Solano,nolberto solano,pe PER,2003/04,Premier League,2 Teams,22,0,1514,28,MF,5,5,0,0,0,18,4,16.8,nolberto solano|pe per|1975,nolberto solano|2003/04,Nolberto Solano,Nolberto Solano,No player matches found,[]
Gary Walsh,gary walsh,eng ENG,2000/01,Premier League,2 Teams,22,0,1972,32,GK,0,0,0,0,0,22,0,21.9,gary walsh|eng eng|1968,gary walsh|2000/01,Gary Walsh,Gary Walsh,No per-team stats available for this season,"[{""id"":6971118,""name"":""Gary Walsh"",""score"":""1.00""}]"
Brian Deane,brian deane,eng ENG,2001/02,Premier League,2 Teams,22,7,1707,33,FW,1,8,7,0,0,19,3,19,brian deane|eng eng|1968,brian deane|2001/02,Brian Deane,Brian Deane,No player matches found,[]
Seth Johnson,seth johnson,eng ENG,2001/02,Premier League,2 Teams,21,0,1662,22,"FW,MF",1,1,0,0,0,19,2,18.5,seth johnson|eng eng|1979,seth johnson|2001/02,Seth Johnson,Seth Johnson,No player matches found,[]
Robbie Fowler,robbie fowler,eng ENG,2002/03,Premier League,2 Teams,21,4,1204,27,FW,1,5,1,1,1,14,7,13.4,robbie fowler|eng eng|1975,robbie fowler|2002/03,Robbie Fowler,Robbie Fowler,No per-team stats available for this season,"[{""id"":2,""name"":""Robbie Fowler"",""score"":""1.00""}]"
Rigobert Song,rigobert song,cm CMR,2000/01,Premier League,2 Teams,21,0,1791,24,DF,0,0,0,0,0,20,1,19.9,rigobert song|cm cmr|1976,rigobert song|2000/01,Rigobert Song,Rigobert Song,No per-team stats available for this season,"[{""id"":200087,""name"":""Rigobert Song Bahanag"",""score"":""0.85""}]"
Darren Huckerby,darren huckerby,eng ENG,2000/01,Premier League,2 Teams,20,1,954,24,"FW,MF",1,2,0,1,1,10,10,10.6,darren huckerby|eng eng|1976,darren huckerby|2000/01,Darren Huckerby,Darren Huckerby,No per-team stats available for this season,"[{""id"":1903,""name"":""Darren Huckerby"",""score"":""1.00""}]"
Warren Barton,warren barton,eng ENG,2001/02,Premier League,2 Teams,19,0,1618,32,DF,1,1,0,0,0,18,1,18,warren barton|eng eng|1969,warren barton|2001/02,Warren Barton,Warren Barton,No player matches found,[]
Benjani,benjani,zw ZIM,2007/08,Premier League,2 Teams,36,15,2896,28,FW,1,16,15,0,1,34,2,32.2,benjani|zw zim|1979,benjani|2007/08,,,Best match score 0.36 below threshold 0.5,"[{""id"":279,""name"":""Benjamin Mwaruwari"",""score"":""0.36""}]"
John Heitinga,john heitinga,nl NED,2013/14,Premier League,2 Teams,15,1,1249,29,"DF,MF",1,2,1,0,0,14,1,13.9,john heitinga|nl ned|1984,john heitinga|2013/14,John Heitinga,John Heitinga,No player matches found,[]
Seol Ki-hyeon,seol ki-hyeon,kr KOR,2007/08,Premier League,2 Teams,15,0,498,28,"FW,MF",1,1,0,0,0,6,9,5.5,seol ki-hyeon|kr kor|1979,seol ki-hyeon|2007/08,,,Best match score 0.39 below threshold 0.5,"[{""id"":204,""name"":""Ki-Hyeon Seol"",""score"":""0.39""}]"
Manucho,manucho,ao ANG,2008/09,Premier League,2 Teams,14,2,674,25,FW,1,3,2,0,0,6,8,7.5,manucho|ao ang|1983,manucho|2008/09,,,Best match score 0.46 below threshold 0.5,"[{""id"":3879,""name"":""Manucho Gonçalves"",""score"":""0.46""}]"
Asmir BegoviÄ,asmir begovia,ba BIH,2009/10,Premier League,2 Teams,13,0,1062,22,GK,0,0,0,0,0,11,2,11.8,asmir begovia|ba bih|1987,asmir begovia|2009/10,Asmir BegoviÄ,Asmir BegoviA,No player matches found,[]
Benjani,benjani,zw ZIM,2009/10,Premier League,2 Teams,10,0,252,30,FW,1,1,0,0,0,2,8,2.8,benjani|zw zim|1979,benjani|2009/10,,,Best match score 0.36 below threshold 0.5,"[{""id"":279,""name"":""Benjamin Mwaruwari"",""score"":""0.36""}]"
Matthew Taylor,matthew taylor,eng ENG,2007/08,Premier League,2 Teams,29,4,1827,25,"DF,MF",2,6,3,1,2,19,10,20.3,matthew taylor|eng eng|1982,matthew taylor|2007/08,Matthew Taylor,Matthew Taylor,No per-team stats available for this season,"[{""id"":2733,""name"":""Matthew Taylor"",""score"":""1.00""}]"
El Hadji Diouf,el hadji diouf,sn SEN,2008/09,Premier League,2 Teams,28,1,2155,27,"FW,MF",0,1,1,0,1,24,4,23.9,el hadji diouf|sn sen|1981,el hadji diouf|2008/09,,,Best match score 0.23 below threshold 0.5,"[{""id"":107219,""name"":""El Diouf"",""score"":""0.23""}]"
Niko KranjÄar,niko kranjaar,hr CRO,2009/10,Premier League,2 Teams,28,6,2012,24,MF,6,12,6,0,0,23,5,22.4,niko kranjaar|hr cro|1985,niko kranjaar|2009/10,Niko KranjÄar,Niko KranjAar,No player matches found,[]
Nikica JelaviÄ,nikica jelavia,hr CRO,2013/14,Premier League,2 Teams,25,5,1687,27,FW,1,6,5,0,1,21,4,18.7,nikica jelavia|hr cro|1986,nikica jelavia|2013/14,Nikica JelaviÄ,Nikica JelaviA,No player matches found,[]
Nolberto Solano,nolberto solano,pe PER,2007/08,Premier League,2 Teams,24,4,1282,32,MF,1,5,4,0,0,14,10,14.2,nolberto solano|pe per|1975,nolberto solano|2007/08,Nolberto Solano,Nolberto Solano,No player matches found,[]
Benni McCarthy,benni mccarthy,za RSA,2009/10,Premier League,2 Teams,19,1,870,31,FW,3,4,1,0,0,9,10,9.7,benni mccarthy|za rsa|1978,benni mccarthy|2009/10,,,Best match score 0.49 below threshold 0.5,"[{""id"":223,""name"":""B. McCarthy"",""score"":""0.49""}]"
Vedran Äorluka,vedran aorluka,hr CRO,2008/09,Premier League,2 Teams,37,1,3233,22,DF,3,4,1,0,0,36,1,35.9,vedran aorluka|hr cro|1986,vedran aorluka|2008/09,Vedran Äorluka,Vedran Aorluka,No player matches found,[]
