player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key,player_name_raw,player_name_used_for_search,reason_unresolved,candidate_players
Chris Kamara,chris kamara,eng ENG,1992/93,Premier League,2 Teams,13,0,798,34,MF,0,0,0,0,0,9,4,8.9,chris kamara|eng eng|1958,chris kamara|1992/93,Chris Kamara,Chris Kamara,Season not found in SportMonks,[]
John Barnes,john barnes,eng ENG,1998/99,Premier League,2 Teams,13,0,473,34,"DF,FW",0,0,0,0,0,2,11,5.3,john barnes|eng eng|1964,john barnes|1998/99,John Barnes,John Barnes,Season not found in SportMonks,[]
Stephen Hughes,stephen hughes,eng ENG,1999/00,Premier League,2 Teams,13,1,998,22,MF,3,4,1,0,0,12,1,11.1,stephen hughes|eng eng|1977,stephen hughes|1999/00,Stephen Hughes,Stephen Hughes,Season not found in SportMonks,[]
Brian Kilcline,brian kilcline,eng ENG,1993/94,Premier League,2 Teams,11,0,990,31,DF,0,0,0,0,0,11,0,11,brian kilcline|eng eng|1962,brian kilcline|1993/94,Brian Kilcline,Brian Kilcline,Season not found in SportMonks,[]
Peter Reid,peter reid,eng ENG,1993/94,Premier League,2 Teams,11,0,721,37,MF,0,0,0,0,0,8,3,8,peter reid|eng eng|1956,peter reid|1993/94,Peter Reid,Peter Reid,Season not found in SportMonks,[]
Neil Webb,neil webb,eng ENG,1992/93,Premier League,2 Teams,10,0,830,29,"DF,MF",2,2,0,0,0,9,1,9.2,neil webb|eng eng|1963,neil webb|1992/93,Neil Webb,Neil Webb,Season not found in SportMonks,[]
Marc Hottiger,marc hottiger,ch SUI,1995/96,Premier League,2 Teams,10,1,821,27,DF,1,2,1,0,0,9,1,9.1,marc hottiger|ch sui|1968,marc hottiger|1995/96,Marc Hottiger,Marc Hottiger,Season not found in SportMonks,[]
Andy Pearce,andy pearce,eng ENG,1995/96,Premier League,2 Teams,10,0,727,29,DF,0,0,,,,9,1,8.1,andy pearce|eng eng|1966,andy pearce|1995/96,Andy Pearce,Andy Pearce,Season not found in SportMonks,[]
Gary Walsh,gary walsh,eng ENG,1993/94,Premier League,2 Teams,9,0,782,25,GK,0,0,0,0,0,8,1,8.7,gary walsh|eng eng|1968,gary walsh|1993/94,Gary Walsh,Gary Walsh,Season not found in SportMonks,[]
Paul Parker,paul parker,eng ENG,1996/97,Premier League,2 Teams,8,0,461,32,DF,0,0,,,,5,3,5.1,paul parker|eng eng|1964,paul parker|1996/97,Paul Parker,Paul Parker,Season not found in SportMonks,[]
Ilie Dumitrescu,ilie dumitrescu,ro ROU,1995/96,Premier League,2 Teams,8,0,617,26,"FW,MF",0,0,,,,7,1,6.9,ilie dumitrescu|ro rou|1969,ilie dumitrescu|1995/96,Ilie Dumitrescu,Ilie Dumitrescu,Season not found in SportMonks,[]
Alan McLeary,alan mcleary,eng ENG,1992/93,Premier League,2 Teams,7,0,587,27,DF,0,0,0,0,0,7,0,6.5,alan mcleary|eng eng|1965,alan mcleary|1992/93,Alan McLeary,Alan McLeary,Season not found in SportMonks,[]
Mark Kennedy,mark kennedy,ie IRL,1997/98,Premier League,2 Teams,5,0,379,21,"DF,MF",1,1,0,0,,4,1,4.2,mark kennedy|ie irl|1976,mark kennedy|1997/98,Mark Kennedy,Mark Kennedy,Season not found in SportMonks,[]
Simon Tracey,simon tracey,eng ENG,1994/95,Premier League,2 Teams,4,0,360,26,GK,0,0,0,0,0,4,0,4,simon tracey|eng eng|1968,simon tracey|1994/95,Simon Tracey,Simon Tracey,Season not found in SportMonks,[]
Ray Wilkins,ray wilkins,eng ENG,1994/95,Premier League,2 Teams,3,0,173,37,MF,0,0,,,,2,1,1.9,ray wilkins|eng eng|1957,ray wilkins|1994/95,Ray Wilkins,Ray Wilkins,Season not found in SportMonks,[]
Steve Livingstone,steve livingstone,eng ENG,1992/93,Premier League,2 Teams,3,0,142,22,FW,0,0,0,0,0,1,2,1.6,steve livingstone|eng eng|1970,steve livingstone|1992/93,Steve Livingstone,Steve Livingstone,Season not found in SportMonks,[]
Neil Heaney,neil heaney,eng ENG,1993/94,Premier League,2 Teams,3,0,246,21,MF,0,0,0,0,0,3,0,2.7,neil heaney|eng eng|1972,neil heaney|1993/94,Neil Heaney,Neil Heaney,Season not found in SportMonks,[]
Steve Stone,steve stone,eng ENG,1998/99,Premier League,2 Teams,36,3,3095,26,MF,6,9,,,,35,1,34.4,steve stone|eng eng|1972,steve stone|1998/99,Steve Stone,Steve Stone,Season not found in SportMonks,[]
Ray Houghton,ray houghton,ie IRL,1994/95,Premier League,2 Teams,36,3,2690,32,MF,2,5,,,,29,7,29.9,ray houghton|ie irl|1962,ray houghton|1994/95,Ray Houghton,Ray Houghton,Season not found in SportMonks,[]
Andy Roberts,andy roberts,eng ENG,1997/98,Premier League,2 Teams,36,1,3197,23,MF,1,2,1,0,0,36,0,35.5,andy roberts|eng eng|1974,andy roberts|1997/98,Andy Roberts,Andy Roberts,Season not found in SportMonks,[]
Andy Cole,andy cole,eng ENG,1994/95,Premier League,2 Teams,36,21,3195,22,FW,5,26,,,,35,1,35.5,andy cole|eng eng|1972,andy cole|1994/95,Andy Cole,Andy Cole,Season not found in SportMonks,[]
Ian Taylor,ian taylor,eng ENG,1994/95,Premier League,2 Teams,36,2,2807,26,MF,3,5,,,,31,5,31.2,ian taylor|eng eng|1968,ian taylor|1994/95,Ian Taylor,Ian Taylor,Season not found in SportMonks,[]
David Batty,david batty,eng ENG,1993/94,Premier League,2 Teams,35,0,3081,24,MF,3,3,0,0,0,34,1,34.2,david batty|eng eng|1969,david batty|1993/94,David Batty,David Batty,Season not found in SportMonks,[]
Emile Heskey,emile heskey,eng ENG,1999/00,Premier League,2 Teams,35,10,3044,21,FW,4,14,,,,35,0,33.8,emile heskey|eng eng|1978,emile heskey|1999/00,Emile Heskey,Emile Heskey,Season not found in SportMonks,[]
Mike Marsh,mike marsh,eng ENG,1993/94,Premier League,2 Teams,35,2,2970,24,"FW,MF",4,6,2,0,0,33,2,33,mike marsh|eng eng|1969,mike marsh|1993/94,Mike Marsh,Mike Marsh,Season not found in SportMonks,[]
Ian Pearce,ian pearce,eng ENG,1997/98,Premier League,2 Teams,35,1,2928,23,DF,2,3,1,0,0,31,4,32.5,ian pearce|eng eng|1974,ian pearce|1997/98,Ian Pearce,Ian Pearce,Season not found in SportMonks,[]
Nick Barmby,nick barmby,eng ENG,1996/97,Premier League,2 Teams,35,5,2829,22,"FW,MF",8,13,5,0,0,32,3,31.4,nick barmby|eng eng|1974,nick barmby|1996/97,Nick Barmby,Nick Barmby,Season not found in SportMonks,[]
Gordon Watson,gordon watson,eng ENG,1994/95,Premier League,2 Teams,35,5,1781,23,FW,1,6,,,,17,18,19.8,gordon watson|eng eng|1971,gordon watson|1994/95,Gordon Watson,Gordon Watson,Season not found in SportMonks,[]
Mark Bright,mark bright,eng ENG,1992/93,Premier League,2 Teams,35,12,3029,30,FW,2,14,12,0,0,33,2,33.7,mark bright|eng eng|1962,mark bright|1992/93,Mark Bright,Mark Bright,Season not found in SportMonks,[]
Eric Cantona,eric cantona,fr FRA,1992/93,Premier League,2 Teams,35,15,3014,26,FW,16,31,,,,33,2,33.5,eric cantona|fr fra|1966,eric cantona|1992/93,Eric Cantona,Eric Cantona,Season not found in SportMonks,[]
Tony Cottee,tony cottee,eng ENG,1994/95,Premier League,2 Teams,34,13,2992,29,FW,3,16,13,0,0,34,0,33.2,tony cottee|eng eng|1965,tony cottee|1994/95,Tony Cottee,Tony Cottee,Season not found in SportMonks,[]
David Batty,david batty,eng ENG,1995/96,Premier League,2 Teams,34,2,3015,26,MF,3,5,,,,34,0,33.5,david batty|eng eng|1969,david batty|1995/96,David Batty,David Batty,Season not found in SportMonks,[]
Steve Watson,steve watson,eng ENG,1998/99,Premier League,2 Teams,34,0,2783,24,"DF,MF",4,4,0,0,0,33,1,30.9,steve watson|eng eng|1974,steve watson|1998/99,Steve Watson,Steve Watson,Season not found in SportMonks,[]
Gary Speed,gary speed,wls WAL,1997/98,Premier League,2 Teams,34,8,3060,27,MF,1,9,,,,34,0,34,gary speed|wls wal|1970,gary speed|1997/98,Gary Speed,Gary Speed,Season not found in SportMonks,[]
